"Date","Open.Price","High.Price","Low.Price","Close.Price","VWAP","Volume","Spread.High.Low","Spread.Close.Open","Twitter.Publication.Count","Twitter.Positive.Sentiment","Twitter.Negative.Sentiment.Count","Twitter.Neutral.Sentiment.Count","Twitter.Sentiment.Daily.Maximum","Twitter.Sentiment.Daily.Minimum","Twitter.Sentiment.Daily.Average","News.Heat...Daily.Average.Story.Flow","News.Sentiment...Daily.Average","News.Publication...Daily.Number.of.Stories","News.Heat...Daily.Max.Readership","News.Neutral.Sentiment.Count","News.Negative.Sentiment.Count","News.Positive.Sentiment.Count","News.Publication.Count"
"01-01-2015",885.5,892.15,884.2,888.05,887.9179582,181432,7.95,2.55,1,0,0,1,0,0,0,0.83,0.0037,35,0,8,0,2,60
"02-01-2015",888.8,896,884,885.6,889.8755228,260835,12,-3.2,2,0,0,2,0,0,0,0.33,0,30,0,7,0,1,45
"05-01-2015",885.55,890.9,875.3,877.1,882.7596658,328788,15.6,-8.45,0.333333333333333,0,0,0.333333333333333,0,0,0,0.0566666666666667,-0.0165333333333333,9,0,1.66666666666667,0.666666666666667,0,22
"06-01-2015",872,872,832.1,836.1,848.3671631,975422,39.9,-35.9,20,0,20,0,0,-0.7629,-1,0.63,-0.1507,42,4,5,11,3,84
"07-01-2015",838.7,858.8,837.2,855.4,850.7321676,660342,21.6,16.7,2,0,0,0,0.1068,0,0.1068,0.29,-0.8699,33,0,3,4,13,112
"08-01-2015",859.85,862.95,841.7,842.85,845.6894049,787134,21.25,-17,0,0,0,0,0,0,0,0.75,0.3919,48,2,4,10,4,105
"09-01-2015",846.15,862.5,845.1,860.45,852.014714,510671,17.4,14.3,0,0,0,0,0,0,0,0.38,-0.269,27,0,4,2,3,72
"12-01-2015",862.5,863,842.35,850.55,846.9295916,503008,20.65,-11.95,1.33333333333333,0.333333333333333,0,1,0.0356,0,0.0140333333333333,0.526666666666667,0.0548333333333333,36,1,19,1,9,89.6666666666667
"13-01-2015",852.75,854.45,840.65,843.05,844.716737,426946,13.8,-9.7,7,0,0,7,0,0,0,2.21,0.4747,131,0,25,8,23,172
"14-01-2015",843.1,846.9,831.1,835.05,835.2007448,669183,15.8,-8.05,4,2,0,2,0.1068,0,0.1758,1.38,0.0602,92,0,8,8,21,121
"15-01-2015",841.25,870.2,841.1,864.6,857.3219252,574183,29.1,23.35,4,0,2,2,0,-0.1068,-0.2009,0.88,0.1131,81,4,14,7,15,109
